Property ID,Map Location
PA1027,"https://www.google.com/maps/place/Assetz+Sun+%26+Sanctum/@13.0196199,77.6993157,14.46z/data=!4m6!3m5!1s0x3bae11497ecf6bf9:0x8e1344a990a20e4e!8m2!3d13.0215378!4d77.705724!16s%2Fg%2F11fhr026qb?entry=ttu&g_ep=EgoyMDI0MTIwOC4wIKXMDSoASAFQAw%3D%3D"
PA1026,https://maps.app.goo.gl/ZZJbXZybUNnmiaQHA
PA1025,"https://www.google.com/maps/place/SJR+College+for+Women/@12.9822365,77.5587221,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae3df414000001:0xeeb7c991ba34e200!8m2!3d12.9822365!4d77.561297!16s%2Fg%2F1tdbcw5j?entry=ttu&g_ep=EgoyMDI0MTIwOC4wIKXMDSoASAFQAw%3D%3D"
PA1024,https://maps.app.goo.gl/eio45MvYjSyDPPJ46
PA1023,https://maps.app.goo.gl/4x613gCwREgPqYh77
PA1022,https://maps.app.goo.gl/jdgCwtfUcg716psNA
PA1021,https://maps.app.goo.gl/jdgCwtfUcg716psNA
PA1020,https://maps.app.goo.gl/Rm3kLSQAfJzYtcgHA
PA1019, 10/Dec/2024
PA1018, 10/Dec/2024
PA1017,https://maps.app.goo.gl/deuaeUpSDsiKoyzt5
PA1016,https://maps.app.goo.gl/MigntKMfstR7MtZc6
PA1015,https://maps.app.goo.gl/ouSMhcNuTyQgS2pt8
PA1014, 10/Dec/2024
PA1013,https://maps.app.goo.gl/Y6hhSGSH59qAS3CU8
PA1012,https://maps.app.goo.gl/avNGRrsZRFRRPGBx9
PA1011,https://maps.app.goo.gl/xMfJ5Yn62h33CmE18
PA1010,https://maps.app.goo.gl/pZu6pUK32ymgNupS6
PA1009,https://maps.app.goo.gl/CTMMAp2u9KLgFJx5A
PA1008,https://maps.app.goo.gl/Yaay8HEAExPh4JBn8
PA1007,https://maps.app.goo.gl/52G1pWh8nxvAaGcs8
PA1006, 09/Dec/2024
PA1005,https://maps.app.goo.gl/n2qRnDTbkhF6SNfK8
PA1004,https://maps.app.goo.gl/n2qRnDTbkhF6SNfK8
PA1003,https://maps.app.goo.gl/ukqZ5gxMBXPuPnwy7
PA1002,https://maps.app.goo.gl/3WMgTRUy1XbR2esKA
PA1001,https://maps.app.goo.gl/h46kgLVLiwFNdWX2A
PA1000,
P999,https://maps.app.goo.gl/QrgrkqzTzLpxmRRv9
P998,https://maps.app.goo.gl/Yk9s3wSjHxf91i8D6
P997,https://maps.app.goo.gl/Y4roXXnBEvsG3pDp6
P996,https://maps.app.goo.gl/USKaMZkfpAYmGV6M7
P995,https://maps.app.goo.gl/CS4Tf493mp4ErGXz6
P994,https://maps.app.goo.gl/Gn7AN15pxSG9J1bc9
P993,https://maps.app.goo.gl/1tiTFbxqJF32s21LA
P992,https://maps.app.goo.gl/1fEptFJM9JrcaX197
P991,https://maps.app.goo.gl/NDRrT1sLkiFY2S5b8
P990,https://maps.app.goo.gl/tqowZNRZkGGwJC3S8
P989,https://maps.app.goo.gl/ZP8HR6cUdHgUAdKA7
P988,https://maps.app.goo.gl/nSp3xfmfqaNmerUKA
P987,https://maps.app.goo.gl/bVk46esA8Hoea5hj7
P986,https://maps.app.goo.gl/b5ubUoMPSx9uKF3C9
P985,https://maps.app.goo.gl/hQWcjGP1dW3fKeuW9
P984,https://maps.app.goo.gl/EoRMWJg2bs4t3it67
P983,https://maps.app.goo.gl/RQFCDmFYrWr4REFWA
P982,https://maps.app.goo.gl/jK7DQ1mdPqXV8UXw6
P981,https://maps.app.goo.gl/HpMLPbUgxRYJB9tc6
P980,https://maps.app.goo.gl/JuWChHtCSesCSJfR8
P979,https://maps.app.goo.gl/7Zy43XvunR1ENhtx7
P978,https://maps.app.goo.gl/PfPwtGAufeLJScS46
P977,https://maps.app.goo.gl/BvrnS6pwQqrDTBPX8
P976,https://maps.app.goo.gl/ega5hJ3QpbMkhwoq7
P975,https://maps.app.goo.gl/syZfQW9zzSdWUzwVA
P974,https://maps.app.goo.gl/B51S8GxXjymor9gT9
P973,https://maps.app.goo.gl/B51S8GxXjymor9gT9
P972,https://maps.app.goo.gl/kbqk9XwMH7d9RAWLA
P971,https://maps.app.goo.gl/eSXYpDBkmW8Tc1Py6
P970,https://maps.app.goo.gl/QVs6sra6oBvVX96M8
P969,https://maps.app.goo.gl/xd1eyy2r4GdNwfbT7
P968,https://maps.app.goo.gl/VDhkai3MVz8BFmqK8
P967,
P966,https://maps.app.goo.gl/p3Z4yxNUYa1Bp2oG7
P965,https://maps.app.goo.gl/dqwNAYXBT1sYv5sx8
P964,https://maps.app.goo.gl/nqbcJXEUkuktSK1T6
P963,https://maps.app.goo.gl/xerQ7Pyb1McYDWEJ6
P962,https://maps.app.goo.gl/ZCNYVCrHgX13WQ5Z7
P961,https://maps.app.goo.gl/U6Zk3Zbuhw1oGT5i7
P960,
P959,https://maps.app.goo.gl/rNTGpdpoVSzgTCX59
P958,https://maps.app.goo.gl/v4TV8kkzVBZo23is6
P957,https://maps.app.goo.gl/v4TV8kkzVBZo23is6
P956,https://maps.app.goo.gl/CJbAxB3NjJ8HvAM36
P955,https://maps.app.goo.gl/fmcPADygwozTimws5
P954,https://maps.app.goo.gl/X9w2uAPUBTQTEwtt6
P953,https://maps.app.goo.gl/HNM7By7dkwdW97w66
P952,https://maps.app.goo.gl/APCEokJFbn59BCa36
P950,https://maps.app.goo.gl/PyDJPhg247dmn8UH9
P949,https://maps.app.goo.gl/o3wSF38AqxZMycRQ6
P948,https://maps.app.goo.gl/yPeWKXugUxxsgE3B9
P947,https://maps.app.goo.gl/yPeWKXugUxxsgE3B9
P946,https://maps.app.goo.gl/7Ng4zwtBxMNwr6h3A
P945,"https://www.google.com/maps/place/Sowparnika+Tharangini/@12.8384157,77.7134935,11.63z/data=!4m6!3m5!1s0x3bae72d75e2a496d:0x7542c48f0768a55c!8m2!3d12.8832686!4d77.7872965!16s%2Fg%2F11cjj3c351?entry=ttu&g_ep=EgoyMDI0MTEyNC4xIKXMDSoASAFQAw%3D%3D"
P944,"https://www.google.com/maps/place/ELV+Akruti+ARK/@12.8036039,77.8197248,10.33z/data=!4m6!3m5!1s0x3bae724a1f38f331:0xad53052d3a2fe385!8m2!3d12.8194103!4d77.7855572!16s%2Fg%2F11vbqj4qnl?entry=ttu&g_ep=EgoyMDI0MTEyNC4xIKXMDSoASAFQAw%3D%3D"
