Property ID,Map Location,Latitude,Longitude
PA1034,"https://www.google.com/maps/place/Amrutha+Heights/@12.9680214,77.7309546,17z/data=!4m6!3m5!1s0x3bae120317114de3:0x11f674a1f39e5160!8m2!3d12.970452!4d77.7355222!16s%2Fg%2F11dxqk6xxc?entry=ttu&g_ep=EgoyMDI0MTIwOC4wIKXMDSoASAFQAw%3D%3D",12.9680214,77.7309546
PA1033,https://maps.app.goo.gl/cFtru9MwWmHWPiCy9,12.9833852,77.7512637
PA1032,"https://www.google.com/maps/place/Adithya+Elan/@12.9680214,77.7309546,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae121c7a28c5d9:0x5d7556b317e24cf1!8m2!3d12.9680214!4d77.7309546!16s%2Fg%2F11bw5zy_n_?entry=ttu&g_ep=EgoyMDI0MTIwOC4wIKXMDSoASAFQAw%3D%3D",12.9680214,77.7309546
PA1031,https://maps.app.goo.gl/cf9HLWcECEamq84RA,12.9834657,77.6891017
PA1030,https://maps.app.goo.gl/YAi8eodtMdQRZXBJ6,12.9834694,77.7136368
PA1029,https://maps.app.goo.gl/pVSUcY7QjdNuthcAA,12.9437937,77.7125832
PA1028,https://maps.app.goo.gl/35MM4vhGp8KPUpNi7,12.9897646,77.788966
PA1027,"https://www.google.com/maps/place/Assetz+Sun+%26+Sanctum/@13.0196199,77.6993157,14.46z/data=!4m6!3m5!1s0x3bae11497ecf6bf9:0x8e1344a990a20e4e!8m2!3d13.0215378!4d77.705724!16s%2Fg%2F11fhr026qb?entry=ttu&g_ep=EgoyMDI0MTIwOC4wIKXMDSoASAFQAw%3D%3D",13.0196199,77.6993157
PA1026,https://maps.app.goo.gl/ZZJbXZybUNnmiaQHA,12.9555689,77.7080376
PA1025,"https://www.google.com/maps/place/SJR+College+for+Women/@12.9822365,77.5587221,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae3df414000001:0xeeb7c991ba34e200!8m2!3d12.9822365!4d77.561297!16s%2Fg%2F1tdbcw5j?entry=ttu&g_ep=EgoyMDI0MTIwOC4wIKXMDSoASAFQAw%3D%3D",12.9822365,77.5587221
PA1024,https://maps.app.goo.gl/eio45MvYjSyDPPJ46,12.9900604,77.7215187
PA1023,https://maps.app.goo.gl/4x613gCwREgPqYh77,12.9014216,77.5635312
PA1022,https://maps.app.goo.gl/jdgCwtfUcg716psNA,13.2633823,77.6785539
PA1021,https://maps.app.goo.gl/jdgCwtfUcg716psNA,13.2633823,77.6785539
PA1020,https://maps.app.goo.gl/Rm3kLSQAfJzYtcgHA,13.0144612,77.6452118
PA1019, 10/Dec/2024,,
PA1018, 10/Dec/2024,,
PA1017,https://maps.app.goo.gl/deuaeUpSDsiKoyzt5,13.0009414,77.5267615
PA1016,https://maps.app.goo.gl/MigntKMfstR7MtZc6,13.3135832,77.5150722
PA1015,https://maps.app.goo.gl/ouSMhcNuTyQgS2pt8,13.0576628,77.6849979
PA1014, 10/Dec/2024,,
PA1013,https://maps.app.goo.gl/Y6hhSGSH59qAS3CU8,13.1818791,77.4047145
PA1012,https://maps.app.goo.gl/avNGRrsZRFRRPGBx9,12.9704917,77.734901
PA1011,https://maps.app.goo.gl/xMfJ5Yn62h33CmE18,13.0402788,77.5474371
PA1010,https://maps.app.goo.gl/pZu6pUK32ymgNupS6,12.9951352,77.5902862
PA1009,https://maps.app.goo.gl/CTMMAp2u9KLgFJx5A,13.0029764,77.5808832
PA1008,https://maps.app.goo.gl/Yaay8HEAExPh4JBn8,12.8495735,77.6397991
PA1007,https://maps.app.goo.gl/52G1pWh8nxvAaGcs8,12.9243557,77.4891672
PA1006, 09/Dec/2024,,
PA1005,https://maps.app.goo.gl/n2qRnDTbkhF6SNfK8,13.0020415,77.5832027
PA1004,https://maps.app.goo.gl/n2qRnDTbkhF6SNfK8,13.0020415,77.5832027
PA1003,https://maps.app.goo.gl/ukqZ5gxMBXPuPnwy7,12.9596655,77.7013794
PA1002,https://maps.app.goo.gl/3WMgTRUy1XbR2esKA,13.2518963,77.5569109
PA1001,https://maps.app.goo.gl/h46kgLVLiwFNdWX2A,12.9733305,77.506986
PA1000,,,
P999,https://maps.app.goo.gl/QrgrkqzTzLpxmRRv9,12.8976667,77.7018703
P998,https://maps.app.goo.gl/Yk9s3wSjHxf91i8D6,12.9565136,77.7335479
P997,https://maps.app.goo.gl/Y4roXXnBEvsG3pDp6,12.9561738,77.6091569
P996,https://maps.app.goo.gl/USKaMZkfpAYmGV6M7,12.9691999,77.5577081
P995,https://maps.app.goo.gl/CS4Tf493mp4ErGXz6,14.2557378,75.6416708
P994,https://maps.app.goo.gl/Gn7AN15pxSG9J1bc9,12.9358569,77.5511113
P993,https://maps.app.goo.gl/1tiTFbxqJF32s21LA,13.1100039,77.6082045
P992,https://maps.app.goo.gl/1fEptFJM9JrcaX197,12.8774455,77.6402039
P991,https://maps.app.goo.gl/NDRrT1sLkiFY2S5b8,12.975041,77.3584839
P990,https://maps.app.goo.gl/tqowZNRZkGGwJC3S8,13.1503667,77.5277583
P989,https://maps.app.goo.gl/ZP8HR6cUdHgUAdKA7,13.1300448,77.5239223
P988,https://maps.app.goo.gl/nSp3xfmfqaNmerUKA,13.0966816,77.5727686
P987,https://maps.app.goo.gl/bVk46esA8Hoea5hj7,12.9001034,77.5020237
P986,https://maps.app.goo.gl/b5ubUoMPSx9uKF3C9,13.2137839,77.1200433
P985,https://maps.app.goo.gl/hQWcjGP1dW3fKeuW9,13.0163097,77.3822886
P984,https://maps.app.goo.gl/EoRMWJg2bs4t3it67,12.8344182,77.6565619
P983,https://maps.app.goo.gl/RQFCDmFYrWr4REFWA,13.0258883,77.3360003
P982,https://maps.app.goo.gl/jK7DQ1mdPqXV8UXw6,13.0557402,77.6560821
P981,https://maps.app.goo.gl/HpMLPbUgxRYJB9tc6,13.0650042,77.4845757
P980,https://maps.app.goo.gl/JuWChHtCSesCSJfR8,13.0096696,77.4979334
P979,https://maps.app.goo.gl/7Zy43XvunR1ENhtx7,,
P978,https://maps.app.goo.gl/PfPwtGAufeLJScS46,13.1067045,77.3282145
P977,https://maps.app.goo.gl/BvrnS6pwQqrDTBPX8,13.207605,77.4067638
P976,https://maps.app.goo.gl/ega5hJ3QpbMkhwoq7,12.9727246,77.7587876
P975,https://maps.app.goo.gl/syZfQW9zzSdWUzwVA,13.1207711,77.419774
P974,https://maps.app.goo.gl/B51S8GxXjymor9gT9,13.0083957,77.5731235
P973,https://maps.app.goo.gl/B51S8GxXjymor9gT9,13.0083957,77.5731235
P972,https://maps.app.goo.gl/kbqk9XwMH7d9RAWLA,12.902867,77.5802257
P971,https://maps.app.goo.gl/eSXYpDBkmW8Tc1Py6,13.0330821,77.5971549
P970,https://maps.app.goo.gl/QVs6sra6oBvVX96M8,12.9213321,77.5087643
P969,https://maps.app.goo.gl/xd1eyy2r4GdNwfbT7,12.9869142,77.4622194
P968,https://maps.app.goo.gl/VDhkai3MVz8BFmqK8,12.9684611,77.5031367
P967,,,
P966,https://maps.app.goo.gl/p3Z4yxNUYa1Bp2oG7,13.0092149,77.7364639
P965,https://maps.app.goo.gl/dqwNAYXBT1sYv5sx8,12.8720347,77.5141747
